epoch,train_acc,val_acc,gap,val_loss,lr
1,0.6439,0.7634,-0.1195,1.3647,1.00e-04
2,0.6838,0.7841,-0.1003,1.3141,9.94e-05
3,0.7042,0.8060,-0.1017,1.2569,9.76e-05
4,0.7252,0.8123,-0.0871,1.2273,9.46e-05
5,0.7415,0.8235,-0.0819,1.2142,9.05e-05
6,0.7270,0.8183,-0.0912,1.2158,8.54e-05
7,0.7702,0.8219,-0.0517,1.1862,7.94e-05
8,0.7487,0.8342,-0.0855,1.1638,7.27e-05
9,0.7714,0.8378,-0.0664,1.1529,6.55e-05
10,0.7835,0.8358,-0.0523,1.1600,5.79e-05
11,0.7947,0.8429,-0.0482,1.1431,5.01e-05
12,0.8032,0.8473,-0.0441,1.1276,4.22e-05
13,0.8022,0.8402,-0.0380,1.1450,3.46e-05
14,0.8170,0.8394,-0.0223,1.1316,2.74e-05
15,0.8126,0.8437,-0.0312,1.1340,2.07e-05
16,0.8073,0.8417,-0.0345,1.1353,1.47e-05
17,0.8077,0.8429,-0.0352,1.1293,9.64e-06
18,0.7986,0.8457,-0.0471,1.1196,5.54e-06
19,0.8091,0.8441,-0.0351,1.1201,2.54e-06
20,0.8282,0.8417,-0.0135,1.1245,7.15e-07
