Lớp món ăn,Train,Validation,Test,Tổng cộng
Bun Bo Hue,1071,153,306,1530
Banh Mi,935,133,268,1336
Banh Xeo,821,117,235,1173
Bun Rieu,805,115,231,1151
Banh Cuon,798,114,228,1140
Chao Long,751,107,215,1073
Hu Tieu,688,98,197,983
Banh Canh,674,97,193,964
Com Tam,659,94,189,942
Bun Dau Mam Tom,640,92,184,916
Mi Quang,618,89,177,884
Goi Cuon,598,85,172,855
Banh Khot,584,84,167,835
Canh Chua,577,83,165,825
Pho,564,81,162,807
Banh Trang Nuong,556,80,159,795
Bun Mam,541,77,155,773
Bun Thit Nuong,522,75,150,747
Banh Can,520,75,149,744
Banh Bot Loc,503,73,144,720
Banh Tet,480,68,138,686
Ca Kho To,473,67,136,676
Banh Duc,463,66,133,662
Banh Beo,451,65,129,645
Banh Gio,448,64,129,641
Cao Lau,432,62,124,618
Nem Chua,379,54,109,542
Xoi Xeo,366,52,105,523
Banh Chung,354,50,102,506
Banh Pia,310,45,89,444
TỔNG CỘNG,17581,2515,5040,25136
